[ 2016-10-21T14:57:01+08:00 ] ::1 /thinkphp/index.php/Home/SqlImageWater
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000013s ]
INFO: [ app_init ] --END-- [ RunTime:0.000329s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000607s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000652s ]
SQL: SHOW COLUMNS FROM `c_article_page` [ RunTime:0.0028s ]
SQL: SELECT `cover` FROM `c_article_page`  [ RunTime:0.0002s ]
SQL: SHOW COLUMNS FROM `c_item` [ RunTime:0.0025s ]
SQL: SELECT `img` FROM `c_item`  [ RunTime:0.0025s ]
SQL: SHOW COLUMNS FROM `c_item_img` [ RunTime:0.0020s ]
NOTIC: [8] Undefined index: field I:\softwarework\xampp\htdocs\thinkphp\Application\Home\Controller\SqlImageWaterController.class.php 第 55 行.
SQL: SELECT * FROM `c_item_img`  [ RunTime:0.0116s ]
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
NOTIC: [8] Undefined index:  I:\softwarework\xampp\htdocs\thinkphp\ThinkPHP\Library\Think\Model.class.php 第 975 行.
